word,frequency
self,16
suds,13
sole,3
crunch,12
eel,13
sill,16
breasts,2
groomed,0
thumbs,8
snort,6
bomb,8
ow,13
butt,8
gross,3
bruise,2
chore,0
thigh,1
squat,0
bough,4
myth,1
clash,0
doe,9
spoils,3
charms,3
hymn,3
gal,3
blouse,10
sped,13
dune,14
trot,16
graze,10
flush,1
odds,5
pork,12
sob,11
mush,6
rests,11
plaid,3
cock,4
fake,15
bid,5
drought,8
loads,14
vase,9
haunt,5
scored,13
craft,8
roars,10
waked,5
winged,4
shave,9
bale,2
stab,2
plank,10
whiz,3
ticks,0
scrub,10
fowl,0
drake,7
fig,6
fee,3
digs,15
gown,9
crib,10
grind,15
germ,1
harp,12
fare,9
warp,4
theft,1
blonde,10
beet,2
hogs,12
squeal,5
filth,1
badge,5
kneel,5
gloom,7
wee,5
ounce,1
choke,11
drifts,12
tilt,5
groom,4
braille,11
twitched,6
sponge,10
pounce,5
launch,4
soak,12
creak,7
cheat,9
clip,16
bathe,7
site,4
chef,3
wand,11
armed,9
wreck,13
rinse,4
flu,13
yelp,5
boil,13
grape,11
tour,11
core,6
gay,12
arch,16
pod,14
tongs,3
freak,3
peck,10
gut,0
width,12
thou,16
shin,0
quake,2
plaque,1
proof,15
prized,2
praise,12
tuck,6
tick,12
shrug,5
puss,11
bends,15
strand,6
notch,0
phrase,12
zip,8
sneeze,10
breast,16
josh,8
bore,10
saint,7
tile,1
strict,9
snowed,9
mug,10
ram,5
verse,3
preach,2
rib,1
text,1
leapt,5
hem,4
crows,9
maids,3
straws,8
mash,9
fir,16
clothe,0
lanes,3
smack,10
drain,16
chills,1
thaw,4
spine,12
blur,10
lambs,15
twirled,3
drug,13
aide,3
hoof,12
cling,3
gash,2
wreath,0
bleach,1
foil,8
host,9
groan,9
screw,10
roam,7
flip,16
chunk,9
crook,8
quote,0
sling,6
smash,13
blob,3
sphere,12
yam,6
fame,6
ace,2
grasp,15
brand,16
pears,6
rump,2
tow,9
reel,4
fade,8
tee,8
mumps,5
poke,14
stake,12
din,2
toll,2
spice,1
nay,5
snatch,9
broth,0
heal,10
ton,8
whine,7
drift,15
pumped,16
wag,8
snacks,8
shrub,0
blessed,10
hog,11
boast,8
greens,11
stink,6
crowed,9
purr,12
scouts,15
hail,16
thrill,5
peep,8
kits,0
crumb,11
slab,9
cuff,2
eyed,13
yea,3
choir,7
slush,3
taps,9
whined,8
bead,0
blushed,10
bum,10
sneezed,7
batch,2
mint,3
joys,0
snout,5
disk,1
shield,14
swoop,7
stroll,12
rig,1
strive,0
dab,11
hip,16
knit,9
pledge,5
yield,1
stunt,13
sin,11
glaze,0
jot,2
slime,1
hushed,8
lure,1
chimp,3
fawn,13
rash,14
ramp,11
peel,16
kin,6
sleigh,7
knob,15
pear,6
gulp,9
rung,13
plea,0
puck,3
lab,15
flick,2
flee,4
gem,0
dame,7
ninth,9
tax,12
pro,4
shrink,10
seam,0
jog,2
quart,7
smoothed,15
braid,3
mow,8
heck,12
shriek,6
snarl,4
skim,3
scar,12
soothe,1
smear,2
stork,12
gasp,16
quack,11
trim,8
fail,15
dye,11
blaze,9
sum,11
wig,14
gust,4
stitch,11
moth,8
hoarse,8
grate,0
sash,12
rhyme,10
churn,9
rails,9
ooze,0
pint,2
plunged,14
cork,13
trough,14
twitch,4
wrench,4
wart,2
greased,3
blush,6
slant,6
bloomed,2
skilled,6
pose,0
nip,0
breed,2
moan,6
blink,15
stomped,9
stale,6
bin,13
arts,5
grunt,7
swine,0
dice,1
swirl,4
waxed,3
lone,4
fling,0
hitch,9
bulge,2
haste,9
gag,2
stacks,12
herbs,5
crush,11
bun,2
sub,5
lime,2
wasp,5
tongues,10
smudge,2
dial,13
fluff,14
plows,4
wring,0
sag,0
aids,0
wick,7
pep,5
ark,6
sketch,12
grouch,5
spade,6
gourd,10
swarm,5
screech,14
cube,7
squid,11
stripe,4
dude,6
mall,13
pox,7
dodge,5
sauce,12
croak,13
threat,7
weep,8
rot,8
torch,14
masked,1
dome,11
crisp,12
brag,11
wade,9
itch,13
spark,10
cheers,15
deeds,9
chat,7
lung,2
vein,4
rust,10
freight,15
niece,4
bride,10
dine,3
locks,16
term,12
truce,4
drapes,7
chute,12
chill,15
mutt,4
burnt,4
flown,11
spout,10
cranes,3
crutch,1
glazed,2
shrimp,9
necks,10
squashed,5
stair,8
thirst,11
mashed,7
squares,16
spat,7
trimmed,10
slot,5
plowed,13
rum,4
strain,15
sane,1
ass,4
smog,5
hunch,0
swooped,10
blot,2
paced,8
pry,1
hinge,0
streak,12
yawn,14
lurch,0
ups,1
wont,2
tread,3
tempt,0
stalk,13
claw,14
yoke,7
rye,5
theme,2
gruff,10
sip,14
bass,8
dwell,2
scalp,6
guts,7
chess,6
groove,2
wives,8
pained,2
slips,8
pluck,3
sac,2
role,9
slash,2
pains,10
greed,1
plunge,2
draft,11
hump,14
bleed,4
boost,2
sieve,0
dent,11
maze,3
bless,14
plucked,8
shove,12
bland,0
wilt,5
soot,1
chant,4
bulls,7
jazz,16
twelfth,5
scold,8
spool,12
bout,4
teen,0
knight,13
cob,11
zone,11
fled,16
patched,4
teens,1
leak,13
bulbs,16
troop,13
curse,7
crawls,15
bade,3
hedge,16
plus,13
wealth,14
husk,0
stain,0
bluff,8
