hidden_units,learning_rate,batch_size,epochs,loss_train,accuracy_train,mse_train,loss_test,accuracy_test,mse_test,time
20,0.001,6,60,0.4088667631149292,0.984375,0.11613865196704865,0.6143614053726196,0.71875,0.2116014063358307,1.4748034477233887
25,0.001,6,60,0.3971031904220581,0.96875,0.11069267988204956,0.5553645491600037,0.765625,0.18339982628822327,1.4936025142669678
30,0.001,6,60,0.33316200971603394,1.0,0.08303719758987427,0.6320858001708984,0.671875,0.21970267593860626,1.4902408123016357
40,0.001,6,60,0.27598389983177185,1.0,0.060316771268844604,0.5859789252281189,0.765625,0.19820763170719147,1.5696332454681396
20,0.001,6,80,0.30733320116996765,1.0,0.07268545776605606,0.5867379307746887,0.8125,0.19768443703651428,1.903754711151123
25,0.001,6,80,0.22784680128097534,1.0,0.04465562477707863,0.5387387275695801,0.828125,0.17313256859779358,1.8995585441589355
30,0.001,6,80,0.1935645341873169,1.0,0.03426360338926315,0.5342965126037598,0.828125,0.17390777170658112,1.9346237182617188
40,0.001,6,80,0.1506538689136505,1.0,0.021472353488206863,0.5116713643074036,0.828125,0.16301390528678894,1.8919811248779297
20,0.001,6,100,0.19676795601844788,1.0,0.03556942194700241,0.560261607170105,0.8125,0.1856108009815216,2.267617702484131
25,0.001,6,100,0.13707947731018066,1.0,0.017947962507605553,0.5339967012405396,0.828125,0.173217311501503,2.1691441535949707
30,0.001,6,100,0.11252008378505707,1.0,0.01261187344789505,0.541347086429596,0.828125,0.17583097517490387,2.3910279273986816
40,0.001,6,100,0.07163302600383759,1.0,0.005572402849793434,0.5074897408485413,0.828125,0.1606411635875702,2.3607208728790283
20,0.001,8,60,0.4300328195095062,1.0,0.12349998950958252,0.6266839504241943,0.71875,0.2174074947834015,1.5920658111572266
25,0.001,8,60,0.3376539647579193,1.0,0.08435611426830292,0.585523247718811,0.8125,0.19732579588890076,1.774686574935913
30,0.001,8,60,0.35547304153442383,1.0,0.09184210002422333,0.6415237784385681,0.703125,0.2245476394891739,1.6563382148742676
40,0.001,8,60,0.2894160747528076,0.984375,0.06644503772258759,0.5721776485443115,0.8125,0.1910659819841385,1.5432298183441162
20,0.001,8,80,0.3044261932373047,1.0,0.07229092717170715,0.5919768214225769,0.84375,0.20025064051151276,1.8731658458709717
25,0.001,8,80,0.2732800543308258,1.0,0.0601070411503315,0.5671716928482056,0.796875,0.1887955367565155,1.8434348106384277
30,0.001,8,80,0.22641021013259888,1.0,0.043586164712905884,0.514664888381958,0.828125,0.16448798775672913,1.8393917083740234
40,0.001,8,80,0.13083985447883606,1.0,0.01656695455312729,0.530528724193573,0.8125,0.17214129865169525,1.8406779766082764
20,0.001,8,100,0.1683979630470276,1.0,0.02673855423927307,0.5533300638198853,0.828125,0.1818227469921112,2.2478137016296387
25,0.001,8,100,0.13971513509750366,1.0,0.01872802898287773,0.5371824502944946,0.828125,0.1739024966955185,2.228092908859253
30,0.001,8,100,0.1133405864238739,1.0,0.013026449829339981,0.46481871604919434,0.828125,0.14495448768138885,2.2582643032073975
40,0.001,8,100,0.08164714276790619,1.0,0.006927047856152058,0.5502371788024902,0.828125,0.18110400438308716,2.319715976715088
20,0.001,10,60,0.4302198588848114,0.96875,0.1243724375963211,0.6488891243934631,0.71875,0.22805899381637573,1.5204315185546875
25,0.001,10,60,0.38658666610717773,0.984375,0.10579057037830353,0.6000556945800781,0.78125,0.20437896251678467,1.4844398498535156
30,0.001,10,60,0.31068772077560425,0.984375,0.07470105588436127,0.5879018902778625,0.765625,0.19863635301589966,1.5138347148895264
40,0.001,10,60,0.3067411780357361,1.0,0.07357728481292725,0.5987718105316162,0.734375,0.2043556571006775,1.5093750953674316
20,0.001,10,80,0.28372275829315186,0.984375,0.06498715281486511,0.5739694237709045,0.796875,0.19185595214366913,1.9472167491912842
25,0.001,10,80,0.24025672674179077,1.0,0.04818952828645706,0.5334138870239258,0.796875,0.17323878407478333,1.9105560779571533
30,0.001,10,80,0.22014671564102173,1.0,0.0411040335893631,0.5286175012588501,0.828125,0.17085477709770203,1.9395577907562256
40,0.001,10,80,0.13188505172729492,1.0,0.016874797642230988,0.558188796043396,0.828125,0.18382662534713745,1.9693429470062256
20,0.001,10,100,0.1887129247188568,1.0,0.032590191811323166,0.5505479574203491,0.8125,0.18100333213806152,2.445286273956299
25,0.001,10,100,0.1656380593776703,1.0,0.0255940742790699,0.5768724083900452,0.828125,0.19306179881095886,2.6406030654907227
30,0.001,10,100,0.13180163502693176,1.0,0.01698140613734722,0.5660641193389893,0.8125,0.18797147274017334,2.773240804672241
40,0.001,10,100,0.08227325230836868,1.0,0.0070569878444075584,0.5056254863739014,0.828125,0.15952390432357788,2.3538191318511963
20,0.005,6,60,0.4213254153728485,0.984375,0.12044042348861694,0.6368451118469238,0.765625,0.22218972444534302,1.5594542026519775
25,0.005,6,60,0.3656960129737854,0.984375,0.09638595581054688,0.5922877192497253,0.828125,0.2004295438528061,1.6313731670379639
30,0.005,6,60,0.33189672231674194,1.0,0.08271428942680359,0.5820220708847046,0.75,0.1962500512599945,1.5552237033843994
40,0.005,6,60,0.237319678068161,1.0,0.04743056371808052,0.5410149097442627,0.8125,0.17753338813781738,1.6539616584777832
20,0.005,6,80,0.308426171541214,1.0,0.07348942756652832,0.5558071136474609,0.828125,0.18319422006607056,2.037715196609497
25,0.005,6,80,0.2283926010131836,1.0,0.04390062019228935,0.5714139938354492,0.8125,0.19079893827438354,1.9996771812438965
30,0.005,6,80,0.20438818633556366,1.0,0.036734115332365036,0.5292985439300537,0.8125,0.171469047665596,1.9529149532318115
40,0.005,6,80,0.14598345756530762,1.0,0.02061263471841812,0.5326653718948364,0.796875,0.17351308465003967,1.9430029392242432
20,0.005,6,100,0.22745420038700104,1.0,0.04474910348653793,0.5343027114868164,0.828125,0.17327135801315308,2.407658338546753
25,0.005,6,100,0.15399837493896484,1.0,0.02339382842183113,0.548633337020874,0.828125,0.17972831428050995,2.2850656509399414
30,0.005,6,100,0.11983485519886017,1.0,0.014424088411033154,0.5299134850502014,0.828125,0.1670280396938324,2.3488056659698486
40,0.005,6,100,0.08262716233730316,1.0,0.007040827535092831,0.47365766763687134,0.828125,0.14707714319229126,2.627194881439209
20,0.005,8,60,0.4061160087585449,1.0,0.11391627788543701,0.5737324953079224,0.828125,0.19168871641159058,1.5907065868377686
25,0.005,8,60,0.3661365211009979,1.0,0.09668084979057312,0.6290777921676636,0.703125,0.21854208409786224,1.5135042667388916
